GeneMANIA Results
Plugin Version	3.4.1 (20160523-2245)
Data Version	2014-08-12
Report Generated	Tue May 16 14:54:48 BST 2017

Gene	Score	Description
RAP1B	SH3GLB1	0.012123957835735048	Co-expression	Ramaswamy-Golub-2001
RAP1B	SRSF10	0.005995479983991693	Co-expression	Ramaswamy-Golub-2001
RAP1B	ZCCHC8	0.011073130277931971	Co-expression	Ramaswamy-Golub-2001
RASA1	ATXN2	0.01967303797290521	Co-expression	Ramaswamy-Golub-2001
RASA1	MAML1	0.019982425644032565	Co-expression	Ramaswamy-Golub-2001
RASA1	PUM2	0.016057060589966286	Co-expression	Ramaswamy-Golub-2001
RASSF5	HCLS1	0.012494904216786765	Co-expression	Ramaswamy-Golub-2001
RASSF5	MFN1	0.02010485857502054	Co-expression	Ramaswamy-Golub-2001
RASSF5	SYK	0.02448607121353711	Co-expression	Ramaswamy-Golub-2001
RBM39	BCLAF1	0.013710591369575921	Co-expression	Ramaswamy-Golub-2001
RBM39	CCNL1	0.02112385157811486	Co-expression	Ramaswamy-Golub-2001
RBM39	EIF3E	0.01883474744118822	Co-expression	Ramaswamy-Golub-2001
RBM39	PNN	0.011953611978424653	Co-expression	Ramaswamy-Golub-2001
RBM5	PNN	0.01002805488502577	Co-expression	Ramaswamy-Golub-2001
RBM6	RBM5	0.020162598898124367	Co-expression	Ramaswamy-Golub-2001
RBM6	SRSF2	0.009171168641281919	Co-expression	Ramaswamy-Golub-2001
RBM6	TOP2B	0.013976479708906385	Co-expression	Ramaswamy-Golub-2001
RBPJ	YY1AP1	0.026288344617108807	Co-expression	Ramaswamy-Golub-2001
RBPJ	ZCCHC10	0.021831822676752672	Co-expression	Ramaswamy-Golub-2001
RCN2	CEBPZ	0.016157435899764965	Co-expression	Ramaswamy-Golub-2001
RCN2	NEK4	0.018844435093551933	Co-expression	Ramaswamy-Golub-2001
RCN2	PHKB	0.015598803708240556	Co-expression	Ramaswamy-Golub-2001
REL	DENND4A	0.014221310634777912	Co-expression	Ramaswamy-Golub-2001
REV3L	PAXIP1	0.11155703701632086	Co-expression	Ramaswamy-Golub-2001
RGL2	ATXN2	0.021652819135194165	Co-expression	Ramaswamy-Golub-2001
RGL2	HNRNPK	0.008792897970634263	Co-expression	Ramaswamy-Golub-2001
RLF	BCLAF1	0.010853930160374406	Co-expression	Ramaswamy-Golub-2001
RLF	KLF6	0.02199855846993928	Co-expression	Ramaswamy-Golub-2001
RLF	PIGA	0.022619880266027546	Co-expression	Ramaswamy-Golub-2001
RLF	SF3A1	0.01929581991414454	Co-expression	Ramaswamy-Golub-2001
RLF	TNFAIP3	0.019592259229828636	Co-expression	Ramaswamy-Golub-2001
RNPS1	BCLAF1	0.005361045179893951	Co-expression	Ramaswamy-Golub-2001
RNPS1	CRY1	0.012996987794547133	Co-expression	Ramaswamy-Golub-2001
ROCK1	CARD8	0.04321466983018818	Co-expression	Ramaswamy-Golub-2001
ROCK1	SENP7	0.012680003461602309	Co-expression	Ramaswamy-Golub-2001
RPA1	HMGN4	0.017909454364088067	Co-expression	Ramaswamy-Golub-2001
RPA1	OGT	0.02606877249473562	Co-expression	Ramaswamy-Golub-2001
RPA1	PRPF4B	0.012422175010955373	Co-expression	Ramaswamy-Golub-2001
RPA2	BCLAF1	0.004902644671961148	Co-expression	Ramaswamy-Golub-2001
RPA2	EIF3E	0.007137911948488411	Co-expression	Ramaswamy-Golub-2001
RPA2	N4BP2L2	0.005338548593022224	Co-expression	Ramaswamy-Golub-2001
RPA2	RNPS1	0.005091063493661842	Co-expression	Ramaswamy-Golub-2001
RPA2	SNAPC1	0.011033058566157983	Co-expression	Ramaswamy-Golub-2001
RPA2	SRPK2	0.009094355793022334	Co-expression	Ramaswamy-Golub-2001
RPA2	SRSF4	0.006276324210839987	Co-expression	Ramaswamy-Golub-2001
RSBN1	ABI1	0.01567857965572719	Co-expression	Ramaswamy-Golub-2001
RSBN1	CLK4	0.021260847688928344	Co-expression	Ramaswamy-Golub-2001
RSBN1	CRLF3	0.023651217359351575	Co-expression	Ramaswamy-Golub-2001
RSBN1	GOLGA7	0.012404985153649118	Co-expression	Ramaswamy-Golub-2001
RSBN1	MARCH7	0.009337039442401596	Co-expression	Ramaswamy-Golub-2001
RSBN1	PCF11	0.011364353762618589	Co-expression	Ramaswamy-Golub-2001
RSBN1	PRPF39	0.020129438065377304	Co-expression	Ramaswamy-Golub-2001
RSBN1	SCAF8	0.013599032624572271	Co-expression	Ramaswamy-Golub-2001
RSBN1	SENP7	0.011318542178280764	Co-expression	Ramaswamy-Golub-2001
RSBN1	SETD2	0.01512031752812371	Co-expression	Ramaswamy-Golub-2001
RSBN1	SMC3	0.015247902887549283	Co-expression	Ramaswamy-Golub-2001
RSRC2	CHD1	0.023344286860902022	Co-expression	Ramaswamy-Golub-2001
RSRC2	DHX15	0.0085474796006365	Co-expression	Ramaswamy-Golub-2001
RSRC2	HIPK1	0.01437667019722033	Co-expression	Ramaswamy-Golub-2001
RSRC2	RYBP	0.017361609665251822	Co-expression	Ramaswamy-Golub-2001
RSRC2	SLTM	0.029969132355543087	Co-expression	Ramaswamy-Golub-2001
RYBP	CARD8	0.017334469487833775	Co-expression	Ramaswamy-Golub-2001
RYBP	CHD1	0.011837079367294903	Co-expression	Ramaswamy-Golub-2001
RYBP	GNA13	0.018383479074277027	Co-expression	Ramaswamy-Golub-2001
RYBP	JMJD1C	0.01724474063237577	Co-expression	Ramaswamy-Golub-2001
RYBP	SH2B3	0.013967994117320805	Co-expression	Ramaswamy-Golub-2001
SACM1L	BTAF1	0.009020867697367072	Co-expression	Ramaswamy-Golub-2001
SACM1L	KRIT1	0.011875254177991665	Co-expression	Ramaswamy-Golub-2001
SACM1L	MARCH7	0.0028417273184901735	Co-expression	Ramaswamy-Golub-2001
SACM1L	SENP7	0.003512303522614238	Co-expression	Ramaswamy-Golub-2001
SACM1L	SUN1	0.00962883225619734	Co-expression	Ramaswamy-Golub-2001
SACM1L	TRIT1	0.011779608181588117	Co-expression	Ramaswamy-Golub-2001
SACM1L	USP3	0.009339663532022754	Co-expression	Ramaswamy-Golub-2001
SAT1	PIGA	0.01605191463117765	Co-expression	Ramaswamy-Golub-2001
SCAF8	CCNL1	0.006835418335300666	Co-expression	Ramaswamy-Golub-2001
SCAF8	HIPK1	0.00558853582912073	Co-expression	Ramaswamy-Golub-2001
SCAF8	MGEA5	0.014005998129284826	Co-expression	Ramaswamy-Golub-2001
SCAF8	RAP1B	0.0037392238722845435	Co-expression	Ramaswamy-Golub-2001
SCAF8	SEC24B	0.004411353762608118	Co-expression	Ramaswamy-Golub-2001
SCAF8	SETD2	0.0046523145444673725	Co-expression	Ramaswamy-Golub-2001
SCAF8	SH3GLB1	0.013691907023358207	Co-expression	Ramaswamy-Golub-2001
SCAF8	SRSF10	0.007099334725625881	Co-expression	Ramaswamy-Golub-2001
SCAF8	TCERG1	0.0034934584056196846	Co-expression	Ramaswamy-Golub-2001
SCAF8	UPF2	0.01058518482405996	Co-expression	Ramaswamy-Golub-2001
SCAF8	ZBTB5	0.010115152534248753	Co-expression	Ramaswamy-Golub-2001
SCAF8	ZCCHC8	0.013701515746004518	Co-expression	Ramaswamy-Golub-2001
SEC24A	FAM129A	0.014872690419968495	Co-expression	Ramaswamy-Golub-2001
SEC24B	CCNL1	0.006706045411865412	Co-expression	Ramaswamy-Golub-2001
SEC24B	HIPK1	0.005118265779709973	Co-expression	Ramaswamy-Golub-2001
SEC24B	SETD2	0.0043369343609840055	Co-expression	Ramaswamy-Golub-2001
SEC24B	SH3GLB1	0.014233838463038292	Co-expression	Ramaswamy-Golub-2001
SEC24B	SUN1	0.008797844017269803	Co-expression	Ramaswamy-Golub-2001
SEC24B	TCERG1	0.003363456308822356	Co-expression	Ramaswamy-Golub-2001
SEC24B	USP3	0.00854068646922078	Co-expression	Ramaswamy-Golub-2001
SEC24B	ZBTB5	0.00997030873923787	Co-expression	Ramaswamy-Golub-2001
SEC24B	ZCCHC8	0.012558428406067405	Co-expression	Ramaswamy-Golub-2001
SENP7	ANKRD10	0.007898927699009546	Co-expression	Ramaswamy-Golub-2001
SENP7	TMEM43	0.006906052668796428	Co-expression	Ramaswamy-Golub-2001
SENP7	WDR11	0.011457462362697141	Co-expression	Ramaswamy-Golub-2001
SENP7	ZNF83	0.010134218589755542	Co-expression	Ramaswamy-Golub-2001
SETD2	SENP7	0.003587632233400711	Co-expression	Ramaswamy-Golub-2001
SETD2	TRAK1	0.013886215166513883	Co-expression	Ramaswamy-Golub-2001
SETD2	YY1AP1	0.006788127789208905	Co-expression	Ramaswamy-Golub-2001
SETD2	ZCCHC10	0.008275815805672881	Co-expression	Ramaswamy-Golub-2001
SETD2	ZCCHC8	0.01320471916538027	Co-expression	Ramaswamy-Golub-2001
SF3A1	BCLAF1	0.00859057328544314	Co-expression	Ramaswamy-Golub-2001
SF3A1	CENPU	0.01944683316641069	Co-expression	Ramaswamy-Golub-2001
SF3A1	DDX21	0.027696779433722715	Co-expression	Ramaswamy-Golub-2001
SF3A1	GNA13	0.02498004702721159	Co-expression	Ramaswamy-Golub-2001
SF3A1	PABPC1	0.024389989162793158	Co-expression	Ramaswamy-Golub-2001
SF3A3	PNN	0.009876009723749324	Co-expression	Ramaswamy-Golub-2001
SF3B1	CCNL1	0.015602856296353704	Co-expression	Ramaswamy-Golub-2001
SF3B1	HIPK1	0.011395339499382828	Co-expression	Ramaswamy-Golub-2001
SF3B1	RBM39	0.028966867276818756	Co-expression	Ramaswamy-Golub-2001
SF3B1	SCAF8	0.008852570130919743	Co-expression	Ramaswamy-Golub-2001
SF3B1	SLC25A36	0.024381746830008752	Co-expression	Ramaswamy-Golub-2001
SF3B1	TCERG1	0.006397778930904098	Co-expression	Ramaswamy-Golub-2001
SF3B1	USP3	0.019047843444945086	Co-expression	Ramaswamy-Golub-2001
SH2B3	GNA13	0.026112344286600947	Co-expression	Ramaswamy-Golub-2001
SH3GLB1	SETD2	0.014930316877250497	Co-expression	Ramaswamy-Golub-2001
SHC1	COL3A1	0.010318486484678781	Co-expression	Ramaswamy-Golub-2001
SHC1	MARK3	0.015128051346499282	Co-expression	Ramaswamy-Golub-2001
SHC1	PRDX4	0.009083793444118235	Co-expression	Ramaswamy-Golub-2001
SHC1	PSAP	0.014911345278618631	Co-expression	Ramaswamy-Golub-2001
SHC1	TIMP3	0.016819340509895638	Co-expression	Ramaswamy-Golub-2001
SKIV2L2	CEP57	0.025363497945787405	Co-expression	Ramaswamy-Golub-2001
SKIV2L2	HNRNPA2B1	0.008939982852047437	Co-expression	Ramaswamy-Golub-2001
SKIV2L2	MAML1	0.019309910809595432	Co-expression	Ramaswamy-Golub-2001
SKIV2L2	PNN	0.009436957994983182	Co-expression	Ramaswamy-Golub-2001
SKIV2L2	PUM2	0.015242926433563597	Co-expression	Ramaswamy-Golub-2001
SKIV2L2	RBM5	0.024271281455680586	Co-expression	Ramaswamy-Golub-2001
SKIV2L2	SP3	0.012544296104863122	Co-expression	Ramaswamy-Golub-2001
SKIV2L2	SRSF2	0.010076387044601273	Co-expression	Ramaswamy-Golub-2001
SKIV2L2	TRA2B	0.008927499017400033	Co-expression	Ramaswamy-Golub-2001
SKIV2L2	XPO1	0.011470308497686717	Co-expression	Ramaswamy-Golub-2001
SKIV2L2	ZCCHC11	0.01772826925689777	Co-expression	Ramaswamy-Golub-2001
SLC25A36	CCNL1	0.016846361645772683	Co-expression	Ramaswamy-Golub-2001
SLC25A36	HIPK1	0.011863915471211482	Co-expression	Ramaswamy-Golub-2001
SLC25A36	RAP1B	0.007755400477563519	Co-expression	Ramaswamy-Golub-2001
SLC25A36	RBM39	0.02966860422171162	Co-expression	Ramaswamy-Golub-2001
SLC25A36	SCAF8	0.009299300039080338	Co-expression	Ramaswamy-Golub-2001
SLC25A36	SENP7	0.007125628672958997	Co-expression	Ramaswamy-Golub-2001
SLC35A1	BIRC2	0.015188175088282685	Co-expression	Ramaswamy-Golub-2001
SLC35A1	HNRNPA2B1	0.006806830250443728	Co-expression	Ramaswamy-Golub-2001
SLC35A1	KRIT1	0.0209280541217669	Co-expression	Ramaswamy-Golub-2001
SLC35A1	MAML1	0.015447283235495364	Co-expression	Ramaswamy-Golub-2001
SLC35A1	MORC3	0.01256678848646302	Co-expression	Ramaswamy-Golub-2001
SLC35A1	NEK4	0.020848863030546918	Co-expression	Ramaswamy-Golub-2001
SLC35A1	PHKB	0.018216335693205472	Co-expression	Ramaswamy-Golub-2001
SLC35A1	PUM2	0.012725457921317136	Co-expression	Ramaswamy-Golub-2001
SLC35A1	STRN3	0.014101398279027616	Co-expression	Ramaswamy-Golub-2001
SLC35A1	ZFX	0.020775502386976313	Co-expression	Ramaswamy-Golub-2001
SLC35A1	ZNF638	0.01304457594449139	Co-expression	Ramaswamy-Golub-2001
SLC35A3	KRIT1	0.013167376351540711	Co-expression	Ramaswamy-Golub-2001
SLC35A3	ZNF83	0.01595388133430515	Co-expression	Ramaswamy-Golub-2001
SLTM	ARGLU1	0.00873885634584507	Co-expression	Ramaswamy-Golub-2001
SLTM	DHX15	0.008265023137265542	Co-expression	Ramaswamy-Golub-2001
SLTM	HIPK1	0.01406113765350378	Co-expression	Ramaswamy-Golub-2001
SLTM	PNISR	0.036391299275194515	Co-expression	Ramaswamy-Golub-2001
SLTM	RAP1B	0.00928030514971219	Co-expression	Ramaswamy-Golub-2001
SLTM	SCAF8	0.011010304810739804	Co-expression	Ramaswamy-Golub-2001
SLTM	SF3B1	0.02394667587625222	Co-expression	Ramaswamy-Golub-2001
SLTM	SLC25A36	0.02451675546465947	Co-expression	Ramaswamy-Golub-2001
SLTM	SNRNP200	0.03043718557973518	Co-expression	Ramaswamy-Golub-2001
SLTM	TCERG1	0.008291354608562668	Co-expression	Ramaswamy-Golub-2001
SMAD4	DDX5	0.009788509015395673	Co-expression	Ramaswamy-Golub-2001
SMAD4	ELF1	0.014764538592111054	Co-expression	Ramaswamy-Golub-2001
SMAD4	KAT6A	0.030052528718591848	Co-expression	Ramaswamy-Golub-2001
SMAD4	NUP153	0.01905294152833136	Co-expression	Ramaswamy-Golub-2001
SMAD4	PNN	0.00950300211253661	Co-expression	Ramaswamy-Golub-2001
SMAD4	PRPF4B	0.01392151098342017	Co-expression	Ramaswamy-Golub-2001
SMAD4	RBM5	0.023109428251948772	Co-expression	Ramaswamy-Golub-2001
SMAD4	SCAF11	0.03210500156274819	Co-expression	Ramaswamy-Golub-2001
SMAD4	SOCS2	0.0185307826298253	Co-expression	Ramaswamy-Golub-2001
SMAD4	SP3	0.012227877219238046	Co-expression	Ramaswamy-Golub-2001
SMAD4	SRSF2	0.01015431526034283	Co-expression	Ramaswamy-Golub-2001
SMAD4	STAG1	0.030904653947660624	Co-expression	Ramaswamy-Golub-2001
SMAD4	ZFX	0.026156071350041492	Co-expression	Ramaswamy-Golub-2001
SMC3	ABI1	0.005122266287148935	Co-expression	Ramaswamy-Golub-2001
SMC3	CRLF3	0.008061337884896587	Co-expression	Ramaswamy-Golub-2001
SMC3	DHX15	0.0036668857567332294	Co-expression	Ramaswamy-Golub-2001
SMC3	FOXJ3	0.012740811692246458	Co-expression	Ramaswamy-Golub-2001
SMC3	HNRNPH3	0.016418248152515646	Co-expression	Ramaswamy-Golub-2001
SMC3	MED14	0.01087917408368012	Co-expression	Ramaswamy-Golub-2001
SMC3	PAN2	0.012842792768918837	Co-expression	Ramaswamy-Golub-2001
SMC3	PDS5A	0.00823711371858528	Co-expression	Ramaswamy-Golub-2001
SMC3	RAP1B	0.0042055597281582535	Co-expression	Ramaswamy-Golub-2001
SMC3	ROCK1	0.016908879157674004	Co-expression	Ramaswamy-Golub-2001
SMC3	SCAF8	0.004768477415158638	Co-expression	Ramaswamy-Golub-2001
SMC3	SENP7	0.003842619537703635	Co-expression	Ramaswamy-Golub-2001
SMC3	SETD2	0.0051297901654155185	Co-expression	Ramaswamy-Golub-2001
SMC3	SMCHD1	0.015419111796031922	Co-expression	Ramaswamy-Golub-2001
SMC3	SRSF10	0.007881808360877035	Co-expression	Ramaswamy-Golub-2001
SMC3	STAG2	0.004822373796328514	Co-expression	Ramaswamy-Golub-2001
SMC3	TCERG1	0.0036965397162575385	Co-expression	Ramaswamy-Golub-2001
SMC3	UPF2	0.01269106526740669	Co-expression	Ramaswamy-Golub-2001
SMC3	YTHDF3	0.01518617855461136	Co-expression	Ramaswamy-Golub-2001
SMC3	ZCCHC8	0.013911609832640535	Co-expression	Ramaswamy-Golub-2001
SMC3	ZMYM2	0.012098062418778322	Co-expression	Ramaswamy-Golub-2001
SMC3	ZNF217	0.01288073726011236	Co-expression	Ramaswamy-Golub-2001
SMCHD1	CRLF3	0.022647596242203687	Co-expression	Ramaswamy-Golub-2001
SMCHD1	MED14	0.031484101587772595	Co-expression	Ramaswamy-Golub-2001
SMCHD1	PCF11	0.010963503370109975	Co-expression	Ramaswamy-Golub-2001
SMCHD1	SCAF8	0.013023611693977583	Co-expression	Ramaswamy-Golub-2001
SMCHD1	SENP7	0.010374764020151092	Co-expression	Ramaswamy-Golub-2001
SMCHD1	SETD2	0.015210016623196466	Co-expression	Ramaswamy-Golub-2001
SMCHD1	STAG2	0.013446972583103204	Co-expression	Ramaswamy-Golub-2001
SMCHD1	TCERG1	0.010150444469365662	Co-expression	Ramaswamy-Golub-2001
SMG1	DDX5	0.014544161645406329	Co-expression	Ramaswamy-Golub-2001
SMG1	DHX15	0.010876053125018268	Co-expression	Ramaswamy-Golub-2001
SMG1	NSMAF	0.016953348936816	Co-expression	Ramaswamy-Golub-2001
SNAP23	ENPP2	0.0278184968215349	Co-expression	Ramaswamy-Golub-2001
SNAP23	LAPTM5	0.012241061069903717	Co-expression	Ramaswamy-Golub-2001
SNAP23	PRPF4B	0.01436385641047559	Co-expression	Ramaswamy-Golub-2001
SNAPC1	BTG1	0.02869164064616881	Co-expression	Ramaswamy-Golub-2001
SNAPC1	CEBPZ	0.02500755597462077	Co-expression	Ramaswamy-Golub-2001
SNAPC1	EIF3E	0.016639477798954267	Co-expression	Ramaswamy-Golub-2001
SNRNP200	DHX15	0.009045586285176637	Co-expression	Ramaswamy-Golub-2001
SOCS2	ZFX	0.024586161858781225	Co-expression	Ramaswamy-Golub-2001
SP3	ATRX	0.01594012686060056	Co-expression	Ramaswamy-Golub-2001
SP3	NSMAF	0.006929646831615466	Co-expression	Ramaswamy-Golub-2001
SP3	PHF3	0.014828312509841837	Co-expression	Ramaswamy-Golub-2001
SP3	PUM2	0.008999849101801937	Co-expression	Ramaswamy-Golub-2001
SP3	RBM5	0.01306432778278872	Co-expression	Ramaswamy-Golub-2001
SP3	SCAF11	0.018544581097142868	Co-expression	Ramaswamy-Golub-2001
SP3	SF3A3	0.01317385635194641	Co-expression	Ramaswamy-Golub-2001
SP3	SRSF6	0.015477193716601226	Co-expression	Ramaswamy-Golub-2001
SP3	TIA1	0.016888146520593228	Co-expression	Ramaswamy-Golub-2001
SPARC	GPNMB	0.02822435860413363	Co-expression	Ramaswamy-Golub-2001
SPEN	ATP8B1	0.020954706487652807	Co-expression	Ramaswamy-Golub-2001
SPG11	ARGLU1	0.009029003927908416	Co-expression	Ramaswamy-Golub-2001
SPG11	C1orf63	0.032192189140091816	Co-expression	Ramaswamy-Golub-2001
SPG11	CCDC90B	0.023625569082985402	Co-expression	Ramaswamy-Golub-2001
SPG11	CNOT1	0.01212082264384547	Co-expression	Ramaswamy-Golub-2001
SPG11	DMTF1	0.019945958820663183	Co-expression	Ramaswamy-Golub-2001
SPG11	FAM65B	0.027905596411652578	Co-expression	Ramaswamy-Golub-2001
SPG11	MUS81	0.017996101078778026	Co-expression	Ramaswamy-Golub-2001
SPG11	PCF11	0.009043618217960769	Co-expression	Ramaswamy-Golub-2001
SPG11	UPF3A	0.01339615478439444	Co-expression	Ramaswamy-Golub-2001
SPG11	WDR11	0.03957864429902922	Co-expression	Ramaswamy-Golub-2001
SPG11	ZFC3H1	0.01490635200354563	Co-expression	Ramaswamy-Golub-2001
SRPK2	RCN2	0.015291856388703685	Co-expression	Ramaswamy-Golub-2001
SRRM1	ZCCHC6	0.018356981979966335	Co-expression	Ramaswamy-Golub-2001
SRSF10	CENPU	0.0172944547089707	Co-expression	Ramaswamy-Golub-2001
SRSF10	HIPK1	0.00891748658865816	Co-expression	Ramaswamy-Golub-2001
SRSF10	ZCCHC8	0.022102724994032832	Co-expression	Ramaswamy-Golub-2001
SRSF11	BCLAF1	0.01326017440846883	Co-expression	Ramaswamy-Golub-2001
SRSF11	CHD1	0.023757135864385485	Co-expression	Ramaswamy-Golub-2001
SRSF11	HIPK1	0.016196120518800355	Co-expression	Ramaswamy-Golub-2001
SRSF11	HNRNPA1	0.024703479885295608	Co-expression	Ramaswamy-Golub-2001
SRSF11	JMJD1C	0.034198548914268455	Co-expression	Ramaswamy-Golub-2001
SRSF11	PNN	0.011787225546282278	Co-expression	Ramaswamy-Golub-2001
SRSF2	CRY1	0.012353133505035372	Co-expression	Ramaswamy-Golub-2001
SRSF2	DDX5	0.005047104169823371	Co-expression	Ramaswamy-Golub-2001
SRSF2	ELF1	0.00715644102313091	Co-expression	Ramaswamy-Golub-2001
SRSF2	HMGN4	0.008254050612616913	Co-expression	Ramaswamy-Golub-2001
SRSF2	HNRNPA1	0.009036136068930025	Co-expression	Ramaswamy-Golub-2001
SRSF2	PNN	0.004360965548590789	Co-expression	Ramaswamy-Golub-2001
SRSF2	RAD21	0.0063815116455405866	Co-expression	Ramaswamy-Golub-2001
SRSF2	SMG1	0.014690084577864967	Co-expression	Ramaswamy-Golub-2001
SRSF2	TRA2A	0.014863596681379982	Co-expression	Ramaswamy-Golub-2001
SRSF3	EP300	0.014297832348833965	Co-expression	Ramaswamy-Golub-2001
SRSF3	HMGN4	0.010620615856629665	Co-expression	Ramaswamy-Golub-2001
SRSF3	MATR3	0.007632060501790322	Co-expression	Ramaswamy-Golub-2001
SRSF3	PCNA	0.014145626093298232	Co-expression	Ramaswamy-Golub-2001
SRSF3	PPP4C	0.009559812100118931	Co-expression	Ramaswamy-Golub-2001
SRSF3	PRPF4B	0.008309819633680389	Co-expression	Ramaswamy-Golub-2001
SRSF3	SRSF2	0.0063562107893239605	Co-expression	Ramaswamy-Golub-2001
SRSF4	BCLAF1	0.00668215882091305	Co-expression	Ramaswamy-Golub-2001
SRSF4	KAT6A	0.01694582473506697	Co-expression	Ramaswamy-Golub-2001
SRSF4	PNN	0.005604720949942355	Co-expression	Ramaswamy-Golub-2001
SRSF5	AMD1	0.010505508509167425	Co-expression	Ramaswamy-Golub-2001
SRSF5	BCLAF1	0.0056338033159803996	Co-expression	Ramaswamy-Golub-2001
SRSF5	CLK2	0.014755126546793349	Co-expression	Ramaswamy-Golub-2001
SRSF5	DDX5	0.005830760133423308	Co-expression	Ramaswamy-Golub-2001
SRSF5	DEK	0.015829469984662958	Co-expression	Ramaswamy-Golub-2001
SRSF5	EIF3E	0.00791983760447203	Co-expression	Ramaswamy-Golub-2001
SRSF5	ELF1	0.007973416002395161	Co-expression	Ramaswamy-Golub-2001
SRSF5	FMR1	0.014729552024425404	Co-expression	Ramaswamy-Golub-2001
SRSF5	HNRNPA1	0.010089154249873448	Co-expression	Ramaswamy-Golub-2001
SRSF5	MTF2	0.012841131363064022	Co-expression	Ramaswamy-Golub-2001
SRSF5	NUP153	0.010406575931088463	Co-expression	Ramaswamy-Golub-2001
SRSF5	PNN	0.005145702267050722	Co-expression	Ramaswamy-Golub-2001
SRSF5	PNRC1	0.008306891470557765	Co-expression	Ramaswamy-Golub-2001
SRSF5	PPP1CB	0.00729194005717335	Co-expression	Ramaswamy-Golub-2001
SRSF5	PPP2R5E	0.016204326621550542	Co-expression	Ramaswamy-Golub-2001
SRSF5	RBM39	0.014511995844670444	Co-expression	Ramaswamy-Golub-2001
SRSF5	SCAF11	0.016821925781622993	Co-expression	Ramaswamy-Golub-2001
SRSF5	SKIV2L2	0.011350138649907521	Co-expression	Ramaswamy-Golub-2001
SRSF5	SMAD4	0.011555138534946644	Co-expression	Ramaswamy-Golub-2001
SRSF5	SMG1	0.016836564009376526	Co-expression	Ramaswamy-Golub-2001
SRSF5	SRSF11	0.014645555277952471	Co-expression	Ramaswamy-Golub-2001
SRSF5	SRSF2	0.005527603381216409	Co-expression	Ramaswamy-Golub-2001
SRSF5	SRSF4	0.007077944772210021	Co-expression	Ramaswamy-Golub-2001
SRSF5	STX16	0.016626292654358804	Co-expression	Ramaswamy-Golub-2001
SRSF5	TRA2A	0.017067416611689187	Co-expression	Ramaswamy-Golub-2001
SRSF5	TRA2B	0.004690796016525186	Co-expression	Ramaswamy-Golub-2001
SRSF6	ARGLU1	0.010473518035918556	Co-expression	Ramaswamy-Golub-2001
SRSF6	CEP57	0.033938337044941945	Co-expression	Ramaswamy-Golub-2001
SRSF6	DHX15	0.009543658033612349	Co-expression	Ramaswamy-Golub-2001
SRSF6	DMTF1	0.023354959193838565	Co-expression	Ramaswamy-Golub-2001
SRSF6	SENP7	0.009731962342526322	Co-expression	Ramaswamy-Golub-2001
SRSF7	HNRNPA2B1	0.006867854567363385	Co-expression	Ramaswamy-Golub-2001
SRSF7	HNRNPK	0.006155209147346662	Co-expression	Ramaswamy-Golub-2001
SRSF7	MAML1	0.014249733096621284	Co-expression	Ramaswamy-Golub-2001
SRSF7	NEK4	0.02002525472019644	Co-expression	Ramaswamy-Golub-2001
SRSF7	PHKB	0.016424148472373872	Co-expression	Ramaswamy-Golub-2001
SRSF7	PUM1	0.008737268047023584	Co-expression	Ramaswamy-Golub-2001
SRSF7	PUM2	0.011964125157996601	Co-expression	Ramaswamy-Golub-2001
SRSF7	SLC35A1	0.01349807892815591	Co-expression	Ramaswamy-Golub-2001
SRSF7	USP8	0.01717682096358671	Co-expression	Ramaswamy-Golub-2001
SRSF7	XPO1	0.008486358238982333	Co-expression	Ramaswamy-Golub-2001
SRSF7	ZCCHC11	0.013307349794808973	Co-expression	Ramaswamy-Golub-2001
SRSF7	ZNF638	0.012537509443096369	Co-expression	Ramaswamy-Golub-2001
STAG2	C6orf120	0.011253545496895154	Co-expression	Ramaswamy-Golub-2001
STAG2	DIDO1	0.013968402999135543	Co-expression	Ramaswamy-Golub-2001
STAG2	GOLGA7	0.0038237236339646883	Co-expression	Ramaswamy-Golub-2001
STAG2	MED14	0.009993374331736275	Co-expression	Ramaswamy-Golub-2001
STAG2	PPP4R2	0.013835134700057046	Co-expression	Ramaswamy-Golub-2001
STAG2	ROCK1	0.015638368199535502	Co-expression	Ramaswamy-Golub-2001
STAG2	SENP7	0.0035475226741802637	Co-expression	Ramaswamy-Golub-2001
STAG2	ZFC3H1	0.0056796944770005214	Co-expression	Ramaswamy-Golub-2001
STK3	MAML1	0.020723768485973775	Co-expression	Ramaswamy-Golub-2001
STK3	PUM2	0.017094684888156783	Co-expression	Ramaswamy-Golub-2001
STK3	ZNF638	0.016099870257183256	Co-expression	Ramaswamy-Golub-2001
STRN3	HNMT	0.016216462389083502	Co-expression	Ramaswamy-Golub-2001
STRN3	LPP	0.021270440884417135	Co-expression	Ramaswamy-Golub-2001
STXBP3	EIF3A	0.011083501125226637	Co-expression	Ramaswamy-Golub-2001
